"year","GVAcorpnipa","GVAcorp","DEPCcorp","VAcorpnipa","VAcorp","ECcorp","Tcorp","NOScorpnipa","NOScorp","Pcorpnipa","Pcorp","BankMonIntPaid","CorpNFNetImpIntPaid","CorpImpIntAdj"
1929,54806,NA,5228,49578,NA,34242,2999,12337,NA,10601,10601,NA,NA,NA
1930,48178,NA,5080,43098,NA,30808,3037,9253,NA,7361,7361,NA,NA,NA
1931,37846,NA,4752,33094,NA,25369,2842,4883,NA,2955,2955,NA,NA,NA
1932,27861,NA,4240,23621,NA,19013,2942,1666,NA,-156,-156,NA,NA,NA
1933,26876,NA,4008,22868,NA,18002,3467,1399,NA,-173,-173,NA,NA,NA
1934,33500,NA,4104,29396,NA,21045,4090,4261,NA,2457,2457,NA,NA,NA
1935,37147,NA,4184,32963,NA,23056,4155,5752,NA,3859,3859,NA,NA,NA
1936,42724,NA,4248,38476,NA,26274,4364,7838,NA,6126,6126,NA,NA,NA
1937,48339,NA,4744,43595,NA,30548,4621,8426,NA,6780,6780,NA,NA,NA
1938,43000,NA,4820,38180,NA,27266,4575,6339,NA,4707,4707,NA,NA,NA
1939,47323,NA,4824,42499,NA,29816,4751,7932,NA,6268,6268,NA,NA,NA
1940,54105,NA,5040,49065,NA,32856,5136,11073,NA,9606,9606,NA,NA,NA
1941,69955,NA,5584,64371,NA,41598,6052,16721,NA,15302,15302,NA,NA,NA
1942,87478,NA,6388,81090,NA,52849,6421,21820,NA,20411,20411,NA,NA,NA
1943,103482,NA,6552,96930,NA,64141,6810,25979,NA,24528,24528,NA,NA,NA
1944,107266,NA,6748,100518,NA,67074,7531,25913,NA,24549,24549,NA,NA,NA
1945,100821,NA,6968,93853,NA,64069,8322,21462,NA,20110,20110,NA,NA,NA
1946,105807,105390,8000,97807,97390,69854,9774,18179,17762,17552,17552,870,-453,-417
1947,127503,126979,9796,117707,117183,82136,11525,24046,23522,23178,23178,1009,-485,-524
1948,146063,145429,11488,134575,133941,91111,12749,30715,30081,30132,30132,1133,-499,-634
1949,143022,142222,12412,130610,129810,88798,13371,28441,27641,27933,27933,1308,-508,-800
1950,162114,161233,13288,148826,147945,98654,14821,35351,34470,34790,34790,1427,-546,-881
1951,185791,184769,15136,170655,169633,114553,15853,40249,39227,39454,39454,1613,-591,-1022
1952,195027,193757,16116,178911,177641,123015,17331,38565,37295,37777,37777,1950,-680,-1270
1953,209184,207568,17300,191884,190268,133985,18468,39431,37815,38496,38496,2363,-747,-1616
1954,206865,204935,18340,188525,186595,132212,17937,38376,36446,37498,37498,2683,-753,-1930
1955,233051,230740,19560,213491,211180,144625,19818,49048,46737,47814,47814,3158,-847,-2311
1956,250053,247151,22088,227965,225063,158175,21518,48272,45370,46825,46825,3851,-949,-2902
1957,261661,257829,24564,237097,233265,166500,22808,47789,43957,46048,46048,4853,-1021,-3832
1958,256831,252410,26396,230435,226014,163977,23137,43321,38900,41334,41334,5426,-1005,-4421
1959,287446,282163,27620,259826,254543,180289,25553,53984,48701,52796,52796,6278,-995,-5283
1960,299879,293425,28488,271391,264937,190689,27844,52858,46404,51543,51543,7564,-1110,-6454
1961,308729,301705,29524,279205,272181,195554,28940,54711,47687,52629,52629,8183,-1159,-7024
1962,335950,327173,30836,305114,296337,210997,31234,62883,54106,60271,60271,9971,-1194,-8777
1963,357362,346958,32416,324946,314542,222667,33170,69109,58705,66427,66427,11664,-1260,-10404
1964,385982,374055,34412,351570,339643,239180,35588,76802,64875,73239,73239,13305,-1378,-11927
1965,423777,409642,37140,386637,372502,259864,37816,88957,74822,84583,84583,15521,-1386,-14135
1966,465090,448031,40860,424230,407171,288528,38913,96789,79730,91594,91594,18533,-1474,-17059
1967,491172,472129,45096,446076,427033,308418,41389,96269,77226,89091,89091,20789,-1746,-19043
1968,542111,519758,49992,492119,469766,340182,47847,104090,81737,96111,96111,23967,-1614,-22353
1969,590653,563220,55704,534949,507516,377454,52896,104599,77166,91821,91821,29365,-1932,-27433
1970,612127,579800,61804,550323,517996,398010,56965,95348,63021,79144,79144,34589,-2262,-32327
1971,660922,627237,67620,593302,559617,421650,62805,108847,75162,92792,92792,36526,-2841,-33685
1972,732902,693991,73440,659462,620551,468170,67290,124002,85091,107678,107678,42067,-3156,-38911
1973,820208,761592,81980,738228,679612,526064,74125,138039,79423,118492,118492,60850,-2234,-58616
1974,889579,808330,96040,793539,712290,577322,78624,137593,56344,108236,108236,83649,-2400,-81249
1975,965545,890083,113516,852029,776567,607817,84498,159714,84252,124228,124228,80383,-4921,-75462
1976,1087308,1007054,125028,962280,882026,682786,91413,188081,107827,157790,157790,83622,-3368,-80254
1977,1232519,1141226,140456,1092063,1000770,771696,100018,220349,129056,186670,186670,94471,-3178,-91293
1978,1406890,1292589,159276,1247614,1133313,884698,108702,254214,139913,215700,215700,118704,-4403,-114301
1979,1564355,1401270,183352,1381003,1217918,1004441,115009,261553,98468,214605,214605,167906,-4821,-163085
1980,1702381,1476974,212088,1490293,1264886,1102003,128574,259716,34309,187655,187655,228578,-3171,-225407
1981,1935130,1600448,244880,1690250,1355568,1220566,154404,315280,-19402,216215,216215,336534,-1852,-334682
1982,2018565,1652169,272520,1746045,1379649,1275114,161301,309630,-56766,195169,195169,373369,-6973,-366396
1983,2172454,1846753,285876,1886578,1560877,1352980,177439,356159,30458,242847,242847,335392,-9691,-325701
1984,2434777,2056840,303168,2131609,1753672,1501072,195621,434916,56979,300699,300699,383599,-5662,-377937
1985,2601493,2217893,326864,2274629,1891029,1615931,209049,449649,66049,314980,314980,397216,-13616,-383600
1986,2706772,2331416,349868,2356904,1981548,1723353,219623,413928,38572,284091,284091,388705,-13349,-375356
1987,2895133,2485918,371292,2523841,2114626,1847640,233366,442835,33620,322803,322803,417848,-8633,-409215
1988,3142537,2656124,399856,2742681,2256268,2002309,252014,488358,1945,359258,359258,491264,-4851,-486413
1989,3320147,2714561,427148,2892999,2287413,2119332,267544,506123,-99463,351587,351587,614707,-9121,-605586
1990,3467335,2873639,454688,3012647,2418951,2234926,284469,493252,-100444,343243,343243,596994,-3298,-593696
1991,3554697,3052127,479628,3075069,2572499,2277820,307936,489313,-13257,372271,372271,510545,-7975,-502570
1992,3742365,3344066,494348,3248017,2849718,2420482,325895,501640,103341,408200,408200,405485,-7186,-398299
1993,3918863,3555697,517188,3401675,3038509,2515738,343758,542179,179013,453787,453787,374905,-11739,-363166
1994,4210085,3789858,547584,3662501,3242274,2649014,376108,637379,217152,556125,556125,435117,-14890,-420227
1995,4474232,3942787,590428,3883804,3352359,2787890,384752,711162,179717,623730,623730,553549,-22104,-531445
1996,4770205,4225737,626332,4143873,3599405,2953697,398416,791760,247292,701602,701602,569585,-25117,-544468
1997,5143154,4537144,670056,4473098,3867088,3176578,416929,879591,273581,782312,782312,636076,-30066,-606010
1998,5474446,4764907,714988,4759458,4049919,3447481,430775,881203,171664,732405,732405,739987,-30448,-709539
1999,5802061,5043588,769632,5032429,4273956,3684312,453905,894212,135739,745039,745039,793344,-34871,-758473
2000,6216190,5235030,838608,5377582,4396422,4008927,479695,888960,-92200,680747,680747,1010593,-29433,-981160
2001,6202593,5285861,888584,5314009,4397277,4013811,469410,830788,-85944,618384,618384,930885,-14153,-916732
2002,6298540,5654783,914587,5383953,4740196,3972742,497529,913682,269925,773589,773589,646568,-2811,-643757
2003,6524950,5988768,932541,5592409,5056227,4040875,524274,1027260,491078,918145,918145,552502,-16320,-536182
2004,6960008,6303018,973014,5986994,5330004,4240204,569371,1177419,520429,1125412,1125412,673711,-16721,-656990
2005,7485433,6496176,1042069,6443365,5454108,4442988,616267,1384109,394852,1304329,1304329,1010961,-21704,-989257
2006,8029316,6574682,1119303,6910013,5455379,4681230,654523,1574260,119626,1456385,1456385,1483161,-28527,-1454634
2007,8199258,6468892,1188944,7010314,5279948,4894238,676292,1439784,-290582,1258028,1258028,1753878,-23512,-1730366
2008,8108788,6754459,1256741,6852047,5497718,4940328,684959,1226760,-127569,955428,955428,1335254,19075,-1354329
2009,7817337,7030276,1263659,6553678,5766617,4607471,655455,1290752,503691,1076888,1076888,775250,11811,-787061
2010,8236992,7614863,1270714,6966278,6344149,4700760,684947,1580572,958443,1388685,1388685,615898,6231,-622129
2011,8623024,8029648,1324537,7298487,6705111,4927979,718673,1651835,1058459,1449878,1449878,583783,9593,-593376
2012,9173994,8628940,1392029,7781965,7236911,5182659,743190,1856116,1311062,1652370,1652370,540778,4276,-545054
2013,9456941,8996874,1447694,8009247,7549180,5356731,776657,1875859,1415792,1682298,1682298,451704,8363,-460067
2014,10046512,9604125,1524311,8522202,8079815,5648214,812932,2061056,1618669,1807956,1807956,434179,8208,-442387
2015,10489514,10042708,1587221,8902292,8455486,5949841,834841,2117610,1670804,1777928,1777928,438765,8041,-446806
2016,10684384,10192972,1629907,9054477,8563065,6109709,851727,2093040,1601628,1724401,1724401,489867,1545,-491412
2017,11132703,10524861,1709313,9423390,8815548,6432103,884628,2106659,1498817,1726343,1726343,616366,-8524,-607842
2018,11796349,10996648,1793566,10002784,9203083,6780648,948175,2273961,1474260,1844577,1844577,802353,-2652,-799701
2019,12332556,11474488,1891831,10440725,9582657,7108215,993339,2339171,1481103,1938296,1938296,869359,-11291,-858068
2020,12095295,11575618,1968202,10127094,9607417,7167961,578408,2380724,1861047,1966263,1966263,541519,-21842,-519677
2021,13818844,13403610,2070269,11748575,11333341,7883565,764921,3100089,2684855,2697790,2697790,439071,-23837,-415234
2022,15322598,14425129,2287902,13034696,12137227,8504055,1179906,3350735,2453266,2913118,2913118,913683,-16214,-897469
2023,16125928,14357135,2447353,13678575,11909782,8960619,1194608,3523348,1754555,3144250,3144250,1806073,-37280,-1768793
2024,16961079,14996736,2583318,14377761,12413418,9443321,1250767,3683673,1719330,3344161,3344161,2024917,-60574,-1964343
