"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc"
1925,2684,93999,99527,17362,96683,96683,196210,213572,4819.36,87810.0613157895,119689.5644,24588.84,92629.4213157895,92629.4213157895,212318.985715789,236907.825715789,686,4522,8498,1671,5208,5208,13706,15377,402,2310,4663,1182,2712,2712,7375,8557,295.24,2251.02868421053,2269.2156,5729.46,2546.26868421053,2546.26868421053,4815.48428421053,10544.9442842105
1926,2909,96690,103527,17787,99599,99599,203126,220913,5235.91944140113,90592.3967515324,126343.131365663,21334.547693475,95828.3161929336,95828.3161929336,222171.447558597,243505.995252072,621,5284,8659,1666,5905,5905,14564,16230,467,2374,4989,1254,2841,2841,7830,9084,329.637102957224,2305.63234463601,2401.71696664619,4917.13692336875,2635.26944759324,2635.26944759324,5036.98641423942,9954.12333760817
1927,3064,98545,105764,18109,101609,101609,207373,225482,5553.47827010262,92610.2513491099,131081.701662184,18666.8099592461,98163.7296192125,98163.7296192125,229245.431281396,247912.241240642,638,5276,8220,1679,5914,5914,14134,15813,500,2445,5166,1285,2945,2945,8111,9396,351.105590721616,2360.38517159756,2507.38166657518,4246.95248981153,2711.49076231918,2711.49076231918,5218.87242889436,9465.82491870589
1928,3182,101325,108504,18860,104507,104507,213011,231871,5827.82303349342,95401.1533234459,136428.530852305,16955.9789547382,101228.976356939,101228.976356939,237657.507209244,254613.486163983,646,5157,8138,1919,5803,5803,13941,15860,528,2492,5284,1317,3020,3020,8304,9621,370.130216678102,2439.03117090394,2618.17409902663,3759.24473868456,2809.16138758205,2809.16138758205,5427.33548660868,9186.58022529324
1929,3318,100283,108131,18712,103601,103601,211732,230444,6125.59142418228,94752.5819061068,137935.056299612,15093.463055903,100878.173330289,100878.173330289,238813.229629901,253906.692685804,692,5488,8642,2291,6180,6180,14822,17113,552,2558,5423,1361,3110,3110,8533,9894,388.113673155877,2412.55626773262,2638.6338020329,3200.61576397576,2800.66994088849,2800.66994088849,5439.3037429214,8639.91950689716
1930,3315,95051,103608,17292,98366,98366,201974,219266,6231.41341051602,90134.8902283541,134363.719160976,12611.9793510948,96366.3036388702,96366.3036388702,230730.022799846,243342.002150941,615,4539,7314,1687,5154,5154,12468,14155,559,2486,5306,1314,3045,3045,8351,9665,401.17238646543,2313.40243860417,2592.85141144849,2731.24483777371,2714.5748250696,2714.5748250696,5307.42623651809,8038.6710742918
1931,3023,84045,92855,15320,87068,87068,179923,195243,5947.62403576407,79959.4424907272,122965.755975001,10096.7450101953,85907.0665264913,85907.0665264913,208872.822501493,218969.567511688,374,2704,4832,1093,3078,3078,7910,9003,533,2315,4959,1216,2848,2848,7807,9023,398.116002554577,2087.98493218182,2410.89297908166,2250.93625254883,2486.10093473639,2486.10093473639,4896.99391381805,7147.93016636688
1932,2880,78572,86520,14024,81452,81452,167972,181996,5988.00325683955,74751.4349875173,117039.289028529,8283.12131763086,80739.4382443569,80739.4382443569,197778.727272886,206061.848590517,238,1438,2965,677,1676,1676,4641,5318,480,2028,4403,1089,2508,2508,6911,8000,410.714518345682,1981.44418885182,2328.04671486794,1901.53032940772,2392.1587071975,2392.1587071975,4720.20542206544,6621.73575147316
1933,2650,80518,86161,15603,83168,83168,169329,184932,5817.5610643332,76561.0904334882,118940.712892199,8330.14484765157,82378.6514978214,82378.6514978214,201319.364390021,209649.509237672,213,1127,2365,859,1340,1340,3705,4564,454,1999,4094,1046,2453,2453,6547,7593,400.325790309514,2038.75920090509,2379.09618147345,1867.78621191289,2439.0849912146,2439.0849912146,4818.18117268805,6685.96738460095
1934,2385,81600,86811,16296,83985,83985,170796,187092,5441.47150891355,77532.7679891194,121952.502943037,8087.34701955723,82974.2394980329,82974.2394980329,204926.74244107,213014.089460627,286,1279,2856,1098,1565,1565,4421,5519,423,2047,4081,1169,2470,2470,6551,7720,368.247964922396,2060.91264835458,2430.54087638851,1747.33675488931,2429.16061327697,2429.16061327697,4859.70148966548,6607.03824455479
1935,2390,81628,86335,16500,84018,84018,170353,186853,5446.29796112115,77563.6209297246,123207.1447029,7788.80923414402,83009.9188908457,83009.9188908457,206217.063593745,214005.872827889,448,1489,3415,1257,1937,1937,5352,6609,405,2086,4107,1208,2491,2491,6598,7806,357.021282937225,2056.0708359385,2444.73764699795,1632.95230853601,2413.09211887573,2413.09211887573,4857.82976587367,6490.78207440968
1936,2603,90383,95070,18522,92986,92986,188056,206578,5779.05123969036,85707.9376725467,136963.929061794,8466.35904326147,91486.9889122371,91486.9889122371,228450.917974031,236917.277017293,583,1942,4392,1609,2525,2525,6917,8526,425,2113,4141,1268,2538,2538,6679,7947,371.14651712074,2263.94426142018,2705.54957268967,1714.33976081537,2635.09077854092,2635.09077854092,5340.64035123059,7054.98011204596
1937,2909,93105,98496,19865,96014,96014,194510,214375,6247.28298804501,88351.529570243,143281.984579269,9160.59216696415,94598.812558288,94598.812558288,237880.797137557,247041.389304521,713,2716,5480,2160,3429,3429,8909,11069,475,2380,4600,1448,2855,2855,7455,8903,395.305927717501,2314.47377216873,2812.28539957691,1750.14804174104,2709.77969988623,2709.77969988623,5522.06509946314,7272.21314120418
1938,2963,91575,97834,19406,94538,94538,192372,211778,6360.65691466709,86943.5100260656,144165.479438923,8692.73243860362,93304.1669407327,93304.1669407327,237469.646379656,246162.378818259,590,2186,4540,1554,2776,2776,7316,8870,507,2351,4668,1499,2858,2858,7526,9025,412.189779619078,2290.74351421799,2849.49958038619,1784.6831096509,2702.93329383707,2702.93329383707,5552.43287422325,7337.11598387416
1939,3020,91022,97988,20084,94042,94042,192030,212114,6498.17299763872,86468.3013545678,146074.146764865,8870.37568121135,92966.4743522065,92966.4743522065,239040.621117072,247910.996798283,561,2276,4837,1759,2837,2837,7674,9433,504,2327,4649,1520,2831,2831,7480,9000,424.083785545623,2275.46760417751,2882.39075030337,1777.84392030284,2699.55138972313,2699.55138972313,5581.9421400265,7359.78606032934
1940,3157,96467,103663,22219,99624,99624,203287,225506,6752.69518571675,91599.5184153916,155791.949372137,9928.53991710958,98352.2136011083,98352.2136011083,254144.162973245,264072.702890355,637,2586,5707,2329,3223,3223,8930,11259,524,2377,4813,1646,2901,2901,7714,9360,436.83537040834,2405.77076798356,3062.95815045177,1899.88497927739,2842.6061383919,2842.6061383919,5905.56428884367,7805.44926812106
1941,3722,108184,115403,26305,111906,111906,227309,253614,7692.52155625784,102557.426271067,174580.991181953,12117.4552951036,110249.947827325,110249.947827325,284830.939009278,296948.394304381,873,3106,6470,3240,3979,3979,10449,13689,579,2563,5265,1893,3142,3142,8407,10300,487.108682589846,2687.87638570451,3430.83655473373,2219.3638237759,3174.98506829436,3174.98506829436,6605.82162302809,8825.18544680399
1942,3833,115951,121338,28695,119784,119784,241122,269817,8064.32237066431,109889.051129243,186370.687070548,13067.6744175606,117953.373499907,117953.373499907,304324.060570455,317391.734988015,648,2191,4604,2669,2839,2839,7443,10112,675,2871,5927,2239,3546,3546,9473,11712,529.737312190308,2910.75813862817,3709.52422592954,2599.66860439014,3440.49545081848,3440.49545081848,7150.01967674803,9749.68828113817
1943,3782,117605,123126,28738,121387,121387,244513,273251,8222.2309856219,111525.707348585,192093.687089759,12684.5178660691,119747.938334207,119747.938334207,311841.625423966,324526.143290035,479,1726,4336,2147,2205,2205,6541,8688,645,3085,5956,2342,3730,3730,9686,12028,553.087927544421,2967.55965806987,3831.78953244405,2634.37946651728,3520.6475856143,3520.6475856143,7352.43711805835,9986.81658457563
1944,3942,118953,124151,29092,122895,122895,247046,276138,8488.57323410124,112911.595920132,196305.814442873,12918.3807622744,121400.169154233,121400.169154233,317705.983597106,330624.36435938,824,2317,5305,2774,3141,3141,8446,11220,674,3108,6123,2424,3782,3782,9905,12329,547.469516721517,2989.04313297653,3897.97580495658,2536.09519056859,3536.51264969805,3536.51264969805,7434.48845465463,9970.58364522322
1945,4312,127947,133772,33256,132259,132259,266031,299287,9106.90018180034,121496.082192905,212592.820289315,15086.3354556506,130602.982374705,130602.982374705,343195.802664021,358282.138119671,906,3289,7712,3719,4195,4195,11907,15626,696,3234,6272,2536,3930,3930,10202,12738,585.77858441431,3194.78600521365,4181.24123039418,2841.83386391265,3780.56458962796,3780.56458962796,7961.80582002214,10803.6396839348
1946,4848,158579,164052,40847,163427,163427,327479,368326,10089.4045927531,150097.835003203,259697.428150724,19523.0183745419,160187.239595956,160187.239595956,419884.66774668,439407.686121222,981,6617,11322,5804,7598,7598,18920,24724,754,3659,7182,2961,4413,4413,11595,14556,650.600328053795,3877.86040549197,5068.88628879028,3429.75459363548,4528.46073354577,4528.46073354577,9597.34702233605,13027.1016159715
1947,6161,189599,196010,49855,195760,195760,391770,441625,12019.3968019208,179225.200105312,309228.294950626,24863.3092028034,191244.596907232,191244.596907232,500472.891857858,525336.201060662,1839,7493,15135,7278,9332,9332,24467,31745,923,4519,8971,3624,5442,5442,14413,18037,727.1712001372,4641.41081365707,6001.9039785842,4396.32730070084,5368.58201379427,5368.58201379427,11370.4859923785,15766.8132930793
1948,8285,199905,213609,55397,208190,208190,421799,477196,15196.4289569386,189429.834197548,336319.545538229,28077.0941387059,204626.263154487,204626.263154487,540945.808692716,569022.902831422,2434,9343,18351,7123,11777,11777,30128,37251,1201,5162,10504,4318,6363,6363,16867,21185,911.602068352756,4867.21173506887,6489.1539905761,5238.52353467647,5778.81380342163,5778.81380342163,12267.9677939977,17506.4913286742
1949,9472,200385,218274,54814,209857,209857,428131,482945,16915.6664248628,190453.719543467,344716.782355063,27482.2839000745,207369.38596833,207369.38596833,552086.168323393,579568.452223468,2585,9096,17909,5647,11681,11681,29590,35237,1470,5238,11404,4667,6708,6708,18112,22779,1023.61903034735,4901.55998766128,6669.54657867475,5458.82097501863,5925.17901800863,5925.17901800863,12594.7255966834,18053.546571702
1950,11326,224221,245771,62703,235547,235547,481318,544021,19801.347204549,212956.935283458,387459.938727479,30748.0134743583,232758.282488007,232758.282488007,620218.221215486,650966.234689844,2715,9913,20486,6098,12628,12628,33114,39212,1683,5427,12312,4941,7110,7110,19422,24363,1220.4533717535,5487.67392657993,7489.26405566284,6162.50336858957,6708.12729833343,6708.12729833343,14197.3913539963,20359.8947225858
1951,12483,243567,267300,69069,256050,256050,523350,592419,21789.8440887169,231750.249604688,422504.936977815,34604.0271182392,253540.093693405,253540.093693405,676045.030671221,710649.05778946,2698,11947,22062,8718,14645,14645,36707,45425,1926,6195,14059,5681,8121,8121,22180,27861,1363.70314919407,5940.62836769428,8172.30483628194,6471.50677955981,7304.33151688834,7304.33151688834,15476.6363531703,21948.1431327301
1952,13286,256794,281726,73256,270080,270080,551806,625062,23459.1404975585,244731.257028556,447024.145168579,37480.9887069963,268190.397526114,268190.397526114,715214.542694693,752695.53140169,2499,12233,22162,9510,14732,14732,36894,46404,2083,6549,14885,6073,8632,8632,23517,29590,1497.15289268275,6283.73667644744,8670.65602384856,6992.74717674908,7780.88956913019,7780.88956913019,16451.5455929787,23444.2927697278
1953,13907,263117,294590,77379,277024,277024,571614,648993,24832.2261241907,251514.673406865,468403.967182359,40260.8148023246,276346.899531056,276346.899531056,744750.866713415,785011.681515739,2557,13567,25543,10009,16124,16124,41667,51676,2169,6872,15808,6550,9041,9041,24849,31399,1591.08758029934,6431.01820018554,9037.97892208895,7562.95370058115,8022.10578048488,8022.10578048488,17060.0847025738,24623.038403155
1954,13824,269081,303033,80201,282905,282905,585938,666139,25208.9640729449,257919.727796006,483999.76735587,42132.165858704,283128.691868951,283128.691868951,767128.459224821,809260.625083525,2336,13840,25294,10021,16176,16176,41470,51491,2236,7017,16631,6972,9253,9253,25884,32856,1633.78314806749,6596.74939989206,9361.34219093611,8027.791464676,8230.53254795955,8230.53254795955,17591.8747388957,25619.6662035717
1955,14620,296271,334315,88789,310891,310891,645206,733995,26948.1965849512,284054.891610832,533609.003765181,46517.3444964817,311003.088195783,311003.088195783,844612.091960963,891129.436457445,2520,15024,29280,10549,17544,17544,46824,57373,2262,7393,17651,7482,9655,9655,27306,34788,1744.87118463937,7271.10517867112,10292.428648269,8992.08612412042,9015.97636331049,9015.97636331049,19308.4050115795,28300.4911356999
1956,14812,324881,368891,101312,339693,339693,708584,809896,27973.3911898574,312008.48643828,589067.780082234,54241.8528334241,339981.877628137,339981.877628137,929049.657710371,983291.510543795,2149,18192,32372,14256,20341,20341,52713,66969,2349,8297,19745,8527,10646,10646,30391,38918,1844.5993707041,7940.98611995351,11361.1383690252,9996.46320835602,9785.58549065761,9785.58549065761,21146.7238596828,31143.1870680388
1957,15450,343295,393859,110330,358745,358745,752604,862934,29760.3281108701,330570.086824153,630406.908837541,60046.4978522881,360330.414935023,360330.414935023,990737.323772564,1050783.82162485,2295,18926,34780,15241,21221,21221,56001,71242,2424,8964,21668,9606,11388,11388,33056,42662,1961.80915077644,8422.81315740954,12155.6512007661,11201.374463072,10384.622308186,10384.622308186,22540.2735089521,33741.6479720242
1958,16016,346913,403656,111613,362929,362929,766585,878198,31285.3882389388,334861.885857977,650550.609525314,60192.5232881345,366147.274096916,366147.274096916,1016697.88362223,1076890.40691036,2680,17420,32985,12574,20100,20100,53085,65659,2579,9110,23141,10344,11689,11689,34830,45174,2043.24201706705,8579.51042859397,12603.3797862309,11904.6308220336,10622.752445661,10622.752445661,23226.1322318919,35130.7630539256
1959,16520,358411,421678,115390,374931,374931,796609,911999,32607.7976434336,346777.164719405,682889.817964131,61642.6239709934,379384.962362839,379384.962362839,1062274.78032697,1123917.40429796,2845,18114,36324,12671,20959,20959,57283,69954,2652,9434,24091,10806,12086,12086,36177,46983,2125.91411738811,8882.7882356596,13195.2207747782,12242.9059927483,11008.7023530477,11008.7023530477,24203.9231278259,36446.8291205742
1960,16675,363018,430792,118824,379693,379693,810485,929309,33480.6328013803,352315.777591922,700765.559702741,64091.9771142469,385796.410393302,385796.410393302,1086561.97009604,1150653.94721029,2432,19508,37643,14864,21940,21940,59583,74447,2608,9687,24615,11220,12295,12295,36910,48130,2217.75948581288,8994.80479978167,13533.1134633212,12306.9942785617,11212.5642855945,11212.5642855945,24745.6777489158,37052.6720274775
1961,16713,374581,444217,122154,391294,391294,835511,957665,34017.5117938713,364369.146200758,725942.362271769,66135.4539098059,398386.657994629,398386.657994629,1124329.0202664,1190464.4741762,2502,19700,38067,14788,22202,22202,60269,75057,2606,9875,25365,11632,12481,12481,37846,49478,2251.10798527652,9315.38232975022,14038.2726994239,12836.8634774515,11566.4903150267,11566.4903150267,25604.7630144506,38441.6264919021
1962,17077,387229,460327,127287,404306,404306,864633,991920,35000.8144618197,377504.598927747,754612.221873857,69479.3250034331,412505.413389567,412505.413389567,1167117.63526342,1236596.96026686,2735,20828,41226,16042,23563,23563,64789,80831,2643,10224,26370,12149,12867,12867,39237,51386,2304.70103298712,9639.90807912829,14558.9024872216,13359.3312508583,11944.6091121154,11944.6091121154,26503.511599337,39862.8428501953
1963,17789,399455,477260,132535,417244,417244,894504,1027039,36278.0964420085,390254.80468828,784999.170290102,73117.5150537934,426532.901130289,426532.901130289,1211532.07142039,1284649.58647418,3216,21031,42915,17173,24247,24247,67162,84335,2713,10546,27600,12770,13259,13259,40859,53629,2361.57831728632,9979.0217483319,15144.5749038796,13986.1287634484,12340.6000656182,12340.6000656182,27485.1749694978,41471.3037329462
1964,18602,422524,504945,141347,441126,441126,946071,1087418,37720.1741648856,413344.433014414,831444.493276715,79448.3779570492,451064.607179299,451064.607179299,1282509.10045601,1361957.47841306,3365,23561,47665,19875,26926,26926,74591,94466,2817,10981,29168,13566,13798,13798,42966,56532,2453.94101177755,10534.6873787679,15995.4998627901,14893.3444892623,12988.6283905455,12988.6283905455,28984.1282533356,43877.4727425979
1965,20060,450562,539944,153221,470622,470622,1010566,1163787,40048.8038764102,441378.84539678,887322.532997164,88796.054295581,481427.64927319,481427.64927319,1368750.18227035,1457546.23656593,4011,27934,55622,24239,31945,31945,87567,111806,3002,11665,31312,14654,14667,14667,45979,60633,2574.12884831501,11174.1850107238,16973.4802652482,16139.2635738952,13748.3138590388,13748.3138590388,30721.794124287,46861.0576981823
1966,21924,483731,583432,171773,505655,505655,1089087,1260860,42975.3581150424,474509.918571342,956246.784491461,102751.766261236,517485.276686385,517485.276686385,1473732.06117785,1576483.82743908,4506,30423,61570,29299,34929,34929,96499,125798,3245,12556,34105,16220,15801,15801,49906,66126,2747.8112939316,12002.3491505768,18258.7098875808,18363.191565309,14750.1604445084,14750.1604445084,33008.8703320892,51372.0618973982
1967,23697,518613,630202,188710,542310,542310,1172512,1361222,45897.1033520639,509162.390799275,1033162.46072364,114387.838269637,555059.494151338,555059.494151338,1588221.95487498,1702609.79314462,4676,30739,62716,29802,35415,35415,98131,127933,3521,13411,37194,18036,16932,16932,54126,72162,2944.36452514742,12930.3619134939,19805.0298106866,21146.4595674093,15874.7264386413,15874.7264386413,35679.7562493279,56826.2158167372
1968,25090,568550,692079,209739,593640,593640,1285719,1495458,48585.7458480357,558268.551365789,1134177.76986516,127440.743704237,606854.297213824,606854.297213824,1741032.06707899,1868472.81078323,4379,32607,69768,31444,36986,36986,106754,138198,3758,14556,40936,19970,18314,18314,59250,79220,3157.62470343112,14207.0689558321,21722.6483645952,23999.1859260592,17364.6936592632,17364.6936592632,39087.3420238584,63086.5279499176
1969,26751,625160,763791,231810,651911,651911,1415702,1647512,51782.0407206347,614035.228883182,1250565.73363646,141061.833751909,665817.269603817,665817.269603817,1916383.00324028,2057444.83699219,4637,36751,78707,34519,41388,41388,120095,154614,3986,16008,45429,22180,19994,19994,65423,87603,3367.50290861677,15602.2764563022,23915.4843599278,26635.7084379773,18969.779364919,18969.779364919,42885.2637248468,69520.9721628241
1970,28826,689368,841374,255204,718194,718194,1559568,1814772,55583.3976508655,677142.489915225,1380396.28722312,154233.002334421,732725.88756609,732725.88756609,2113122.17478921,2267355.17712364,5045,39002,81148,35444,44047,44047,125195,160639,4220,17585,50315,24515,21805,21805,72120,96635,3609.88554649039,17247.040267979,26515.2711678189,29697.2505836053,20856.9258144694,20856.9258144694,47372.1969822883,77069.4475658936
1971,30608,770161,926999,277408,800769,800769,1727768,2005176,58954.1231536297,756245.421017937,1525103.83253631,165002.354529091,815199.544171566,815199.544171566,2340303.37670788,2505305.73123697,5278,41327,86854,35057,46605,46605,133459,168516,4515,19447,55199,26627,23962,23962,79161,105788,3834.00879668784,19322.1194869713,29352.0373987002,32486.3386322726,23156.1282836591,23156.1282836591,52508.1656823593,84994.5043146319
1972,32371,841899,1011628,298586,874270,874270,1885898,2184484,62149.562595835,827325.87032094,1666440.46337915,176375.347703239,889475.432916775,889475.432916775,2555915.89629592,2732291.24399916,6042,45976,98569,39117,52018,52018,150587,189704,4842,21432,60191,28613,26274,26274,86465,115078,4007.68304255964,21117.5640627281,31997.376803656,34314.5869258097,25125.2471052877,25125.2471052877,57122.6239089438,91437.2108347535
1973,37214,955145,1144469,331483,992359,992359,2136828,2468311,69736.9413534571,938725.356290456,1881685.87864753,194653.023394475,1008462.29764391,1008462.29764391,2890148.17629145,3084801.19968592,7961,53463,117221,44188,61424,61424,178645,222833,5258,24626,67469,31414,29884,29884,97353,128767,4412.56723953265,23926.0096294718,36009.4873193374,37616.2558486188,28338.5768690044,28338.5768690044,64348.0641883418,101964.320036961
1974,47172,1156507,1389502,401479,1203679,1203679,2593181,2994660,86675.8656617033,1134750.88829745,2284226.81345824,234215.853447461,1221426.75395915,1221426.75395915,3505653.56741738,3739869.42086484,8503,58832,123547,55029,67335,67335,190882,245911,6244,29193,78864,36463,35437,35437,114301,150764,5583.77611869309,29078.8888729039,44095.5063971068,44796.7133618651,34662.664991597,34662.664991597,78758.1713887038,123554.884750569
1975,54057,1245870,1521523,448200,1299927,1299927,2821450,3269650,98314.7858119294,1224711.72394704,2522485.9023926,259733.867108658,1323026.50975897,1323026.50975897,3845512.41215157,4105246.27926023,10015,59813,124649,57410,69828,69828,194477,251887,7541,33781,92496,43066,41322,41322,133818,176884,6307.12755799496,31483.749295866,48935.4469876041,50580.9667771645,37790.876853861,37790.876853861,86726.323841465,137307.29061863
